Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Abilene,01/01/2013,43.8,28.9,36.1,20.9,,0,,,14.3,208.75,19.5,9.9,37.1,64.54,Partially cloudy
Abilene,01/02/2013,46.6,24.9,33.1,21.1,,0,,,5.7,184,,9.4,0.2,64.28,Clear
Abilene,01/03/2013,44.3,19.7,33.7,16.8,,0,,,5.7,188.04,,9.9,61,60.7,Partially cloudy
Abilene,01/04/2013,39.1,32,36.1,26.1,,0.06,,,10.3,151.33,,9,96.1,82.37,"Rain, Overcast"
Abilene,01/05/2013,57.4,33.9,42.7,26.5,,0,,,15,247.88,23,9.9,36.7,63.58,Partially cloudy
Abilene,01/06/2013,54.9,24.9,38.2,20.4,,0,,,8,192.25,,9.9,0,53.15,Clear
Abilene,01/07/2013,51.8,28.6,39.6,22.9,,0,,,15.4,134.75,18.3,9.9,7.6,54.82,Clear
Abilene,01/08/2013,49.7,35,43.8,29.8,,0.11,,,10.1,92.58,20.8,5.8,81.2,88.78,"Rain, Overcast"
Abilene,01/09/2013,49.3,44,46,36.2,,0.96,,,21,126.83,29.8,3.6,100,98.81,"Rain, Overcast"
Abilene,01/10/2013,60.1,45,49.6,39.9,,0.1,,,17.2,242.54,24.2,9,61.4,85.95,"Rain, Partially cloudy"
Abilene,01/11/2013,71.2,46.3,58.2,42.6,,0,,,25.8,187.17,36.5,9.9,4.4,62.72,Clear
Abilene,01/12/2013,60.5,32,46.3,21.2,,0,,,21.3,249.54,28.8,9.9,67.6,57.05,Partially cloudy
Abilene,01/13/2013,37.3,24.5,29.5,12.2,,0,,,16.8,182.08,24.2,9.9,12.6,61.85,Clear
Abilene,01/14/2013,41,21,29.3,11.5,,0,,,10.5,43.29,19.5,9.9,3.7,58.45,Clear
Abilene,01/15/2013,37.2,23.3,28.9,15.5,,0,,,16.1,287.13,18.3,9.9,63.3,60.17,Partially cloudy
Abilene,01/16/2013,51.5,19.3,35.3,11.2,,0,,,20,275.54,27.5,9.9,12.1,56.19,Clear
Abilene,01/17/2013,57.4,31,43,24.7,,0,,,12.9,216.04,18.3,9.9,0,57.87,Clear
Abilene,01/18/2013,62.3,28.1,45.1,23.6,,0,,,17.8,167.5,27.5,9.9,0,56.55,Clear
Abilene,01/19/2013,69.8,43.2,52.8,38.2,,0,,,18.2,235.75,27.5,9.9,0,44.69,Clear
Abilene,01/20/2013,68,35.3,48.5,29.4,,0,,,7.1,237.33,,9.9,0,53.48,Clear
Abilene,01/21/2013,48.4,32,39.5,24.2,,0,,,14.8,173.33,17.3,9.9,0,58.8,Clear
Abilene,01/22/2013,66,30.1,48,26,,0,,,21.3,192.67,25,9.9,21.2,62.71,Clear
Abilene,01/23/2013,75.7,47.8,59.5,45.5,,0,,,16.9,192,23,9.4,0.3,71.6,Clear
Abilene,01/24/2013,79.7,48.1,62.7,45.1,,0,,,13.9,177.67,25.3,9.9,0,62.49,Clear
Abilene,01/25/2013,51.5,39,46,31.2,,0,,,14.6,205.88,30,9.5,6.8,67.36,Clear
Abilene,01/26/2013,66,35.7,51,30.8,,0,,,18.4,135.04,31.1,9.9,3.2,69.3,Clear
Abilene,01/27/2013,75.1,57,63.3,,,0,,,22.1,176.38,31.7,9.8,28.6,73.07,Partially cloudy
Abilene,01/28/2013,78.8,57.7,68.4,,,0,,,24.3,174.46,34.7,9.9,37.9,71.82,Partially cloudy
Abilene,01/29/2013,68.8,47.7,62.3,42.1,,0.03,,,33.3,234.29,43.4,9.9,35.1,52.55,"Rain, Partially cloudy"
Abilene,01/30/2013,51.5,35.3,42.7,25,,0,,,22.7,286.54,32.2,9.9,8.9,37.31,Clear
Abilene,01/31/2013,64.6,31.7,47.3,24.6,,0,,,18.8,201.79,25.8,9.9,0,30.37,Clear
Abilene,02/01/2013,66.4,31.4,49.1,27.4,,0,,,16.8,125.08,26.4,9.9,0,48.45,Clear
Abilene,02/02/2013,64.6,40.7,52,34.4,,0,,,15.3,161.38,24.2,9.9,0,49.11,Clear
Abilene,02/03/2013,66.4,30.1,50.8,24.2,,0,,,19.2,179.42,25.3,9.9,7.4,49.96,Clear
Abilene,02/04/2013,73.6,51.5,62.1,,,0,,,17.7,215.21,24.2,9.9,13.6,49.38,Clear
Abilene,02/05/2013,73.3,35.7,54.3,31.6,,0,,,9.9,199.75,,9.9,0.3,44.39,Clear
Abilene,02/06/2013,76.7,52.2,62.2,,,0,,,14.4,165.08,24.2,8.7,22.5,66.48,Clear
Abilene,02/07/2013,68,48,59.1,44.7,,0,,,22.4,206.33,29.5,9.9,0.5,63.86,Clear
