Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Abilene,01/01/2018,22,9.2,16,-3.7,,0,0,0,13.5,67.46,,9.9,45.1,72.89,Partially cloudy
Abilene,01/02/2018,24.5,13.6,19.6,5.6,,0,0,0,12.3,176.25,,9.5,68.7,72.55,Partially cloudy
Abilene,01/03/2018,51.1,12.3,31,2.9,,0,0,0,11.8,231.33,,9.9,0,55.65,Clear
Abilene,01/04/2018,55.7,25.3,39.8,18.3,,0,0,0,14.6,156.96,25.3,9.9,3.2,48.94,Clear
Abilene,01/05/2018,59.3,30.4,43.5,26.3,,0,0,0,13.9,166.46,18.3,9.9,0.3,55.88,Clear
Abilene,01/06/2018,61.2,31.9,47.2,26.9,,0,0,0,18,164.63,29.8,9.9,2.4,72.02,Clear
Abilene,01/07/2018,67,46.9,54.9,41.8,,0,0,0,23.4,233.54,34.3,9.9,34.2,71.38,Partially cloudy
Abilene,01/08/2018,61.5,32.7,46.2,27.3,,0,0,0,12.1,227,,9.9,0,59.47,Clear
Abilene,01/09/2018,71.4,38.4,53.6,32.8,,0,0,0,18.7,165.96,26.1,9.9,0.7,49.76,Clear
Abilene,01/10/2018,72.6,49.9,59.3,45.2,,0,0,0,27.6,183.83,40,9.4,14.4,47.61,Clear
Abilene,01/11/2018,53.3,34.3,44.6,25.3,,0,0,0,32.2,304.71,42.9,9.7,26.2,49.2,Partially cloudy
Abilene,01/12/2018,48.4,20.5,33.3,11.7,,0,0,0,11.1,193.83,16.1,9.9,0.3,45.46,Clear
Abilene,01/13/2018,44.8,19.4,31,10.7,,0,0,0,9,174.29,,9.9,0,47.36,Clear
Abilene,01/14/2018,56.1,28.3,40.9,22.3,,0,0,0,18.2,170.46,29.8,9.9,0,41.51,Clear
Abilene,01/15/2018,60,25.7,42.2,10.4,,0,0,0,31.2,168.75,39.1,9.9,39.7,59.83,Partially cloudy
Abilene,01/16/2018,26.4,11.8,20.4,0.7,,0,0,0,22.7,103.04,34.4,9.9,55.2,36.08,Partially cloudy
Abilene,01/17/2018,39.7,6.7,22,-2.2,,0,0,0,10.2,148.96,,9.9,0.1,43.77,Clear
Abilene,01/18/2018,50.2,24.5,36.9,15,,0,0,0,16.9,194.21,25.2,9.9,38.2,36.61,Partially cloudy
Abilene,01/19/2018,64.6,31.8,46.4,21.5,,0,0,0,22,189.79,29.5,9.9,0,53.11,Clear
Abilene,01/20/2018,74.6,41.1,55.5,33.4,,0,0,0,19.7,184.5,31,9.9,3.7,61.52,Clear
Abilene,01/21/2018,71.9,50,59,45.2,,0,0,0,28,212.29,37.4,9.4,18.4,50.32,Clear
Abilene,01/22/2018,56.5,35.5,45.7,27.9,,0,0,0,22.8,285.92,35.5,9.9,0,30.74,Clear
