Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Abilene,01/01/2020,55.8,42.2,49.9,36.7,,0,0,0,21.6,188.92,31,9.9,13.2,49.5,Clear
Abilene,01/02/2020,68.6,47.5,55.3,45,,0,0,0,17.9,224.71,31,9.9,31.8,47.36,Partially cloudy
Abilene,01/03/2020,58.6,40.5,48.6,37.9,,0,0,0,19.3,318.63,26.3,9.9,48.7,48.51,Partially cloudy
Abilene,01/04/2020,68.1,34.8,48.9,28.6,,0,0,0,9.3,228.96,18.3,9.9,0,44.84,Clear
Abilene,01/05/2020,64.9,39.5,54,36.5,,0,0,0,20.6,184.67,27.7,9.9,0,34.41,Clear
Abilene,01/06/2020,62.7,32.3,44.8,26.8,,0,0,0,19.7,160.83,25.3,9.9,0.3,53.88,Clear
Abilene,01/07/2020,63.1,25.5,43.4,19.7,,0,0,0,16.9,193.79,23,9.9,0,40.25,Clear
Abilene,01/08/2020,64.8,39.5,52.2,32.5,,0,0,0,29.3,184.04,40.1,9.9,3.9,40.29,Clear
Abilene,01/09/2020,74.3,55.9,62.6,,,0,0,0,24.7,181.25,35.4,9.9,4.2,60.93,Clear
Abilene,01/10/2020,70.1,41.1,61.4,31.6,,0,0.74,0.74,26.3,189.38,38.2,9.8,58.6,67.94,"Snow, Partially cloudy"
Abilene,01/11/2020,50,31,38.5,19.9,,1.04,0.44,1.18,23.7,253.83,31.1,9.2,39,66.27,"Snow, Partially cloudy"
Abilene,01/12/2020,67.6,40.6,49.6,31.7,,4.09,0,0.39,29.1,180.88,39.4,9.9,0,53.67,Rain
Abilene,01/13/2020,72.1,41.9,55.6,37.1,,0.38,0,0,22.5,181.29,30.7,9.7,16.5,66.99,Rain
Abilene,01/14/2020,73.3,44.9,55.7,40.1,,0,0,0,10,191.83,,9.1,4.7,67.21,Clear
Abilene,01/15/2020,73.3,50.1,61.4,,,0,0,0,13.1,165.96,18.3,9.5,18.3,62.22,Clear
Abilene,01/16/2020,50.6,32.3,39.1,23.4,,1.34,0,0,17.7,107.83,24.2,7.1,98,79.81,"Rain, Overcast"
Abilene,01/17/2020,52.2,33.6,41.1,25.4,,0.52,0,0,20,247.42,30,8.2,92.7,89.53,"Rain, Overcast"
Abilene,01/18/2020,54.4,36,47,30.6,,0,0,0,22.7,160,30.5,9.3,20.8,64.64,Clear
Abilene,01/19/2020,52.9,25,38.9,23,,0,0,0,11.7,88.54,,9.9,0.3,55.78,Clear
Abilene,01/20/2020,56.9,31.5,43.4,26.1,,0,0,0,7.5,190.54,,9.9,16.3,51.04,Clear
